reviewid,rating,title,review,review_date,stay_date,trip_type,room_tip,origin
862242080,50,"Clean, chic, safe","Originally was in a room that shared a wall with the elevator shaft (1014). They were able to move me in the middle of my 5 night stay to a different room that was amazing (1811). Clean rooms, comfortable beds, helpful staff, fun/chic lobby area, and one block from the beach! Pool area and restaurant overlook Diamond Head, which is awesome, however I was very disappointed that the (free) yoga classes that are typically done out by the pool (overlooking Diamond Head) were moved to the fitness room while I was there. They said it was for an event, however I never saw an event going on? I was disappointed about the yoga but they waived my resort fee to compensate and I ended up doing my own yoga on my balcony.    They also offer complementary hula classes and lei making classes. They have a station in the lobby to refill water bottles, a coffee shop, and a couple other shops. I would stay here again/recommend to others.",Sep 2022,September 2022,,Room 1811 was awesome! Amazing view of Diamond Head and partial ocean view. Balcony.,
861558025,30,Would be 5 stars if…,"If it wasn’t for my check in experience I would give this hotel five stars. Weeks before the trip I booked a mountain/beach side view for about $380. The only reason I picked this room over a city view room (which was much cheaper, over 100$ less) was because I wanted the view. When I checked in they said they were out of the specific room with the view I paid for weeks before. I’m typically not one to complain but I booked weeks in advance and specifically paid extra for the view. They did attempt to upgrade me to a penthouse with Cityview but I don’t care about the penthouse I just wanted the specific view I paid for. I did not feel it was appropriate to not have the room available that I paid for weeks ago. This was unacceptable. After I told her at check in that that was the only reason that I got the room and that I did not want a city view she suddenly had a penthouse with a mountain/beach view available. I was really glad that they upgraded me to a penthouse with a mountain/beach view. This made everything okay for us. The penthouse was beautiful and clean and in a perfect location for walking around Honolulu and shopping and going to the beach. The view was amazing with windows on both sides of the room. The pool is not as good in person with cheap grass but looks good in photos. I really love the decor that they have around the motel it looks very cool. So like I said I would definitely give this hotel five stars if it had not been for the issue at check-in. I probably won’t stay there again for fear that this would happen again, but if it does not happen to you it would be a great place to stay.",Sep 2022,September 2022,Traveled as a couple,They may sell out of the room you paid for weeks in advance.,"Pineville, Kentucky"
861442518,50,A Queen’s Delight,"This visit to Oahu was for a dear friend’s son’s wedding. Having not been to Oahu in 50 years (seriously, it was my high school grad gift!) and now returning for a very special occasion I wanted to have a good experience. The groom and bride selected this hotel and it was the perfect location for the many nearby scheduled events for the bridal party’s  guests. Itzia in Sales/Mktg.  did an excellent job helping me with my resy and making sure I got the view of Diamond Head I wanted. The room was shared with a family member and we both were very comfortable with its size and design. And the beds & pillows were perfect.  Couldn’t have had a more lovely experience. Plus we had a fabulous Sunday brunch at The Deck bar watching the US Open Men’s Final on one of your big screens. Everyone on staff always had a smile and an Aloha!",Sep 2022,September 2022,Traveled with family,We had no need for a car on this short trip as everything we did was walking distance from the...,
861428988,50,This couldn’t wait until we arrived …..,"Aloha!    I will start by saying this trip was not the trip we wanted to make given our friend and family has experienced a death -which will bring us all out in support.    That said, there were a couple hiccups upon booking. I frantically made these errors, in what was for sure anxiety and haste.    While my initial call with someone in reservations ( we’ll leave unnamed) I was insensitively alarmed by the lack of service or regard. It was swiftly turned around by Jolynn!    I can see why she was given the title of Manager!    She was understanding and accommodating. Though, the errors were not made by her team, she understood the dilemma. She compassionately listened and made the amends she was able to make within her means, while keeping in mind the narrative around the trip.    We’ll arrive in October, she’s made sure to provide us with the best experience possible!    Her team member, Jessica has mirrored that ethos! She’s as sweet as Hawaiian cake!    We have three families who will be staying and while this wasn’t my choice in hotel upon booking ( my cousin selected) it will surely be one of my go to spots! I plan on recommending the property to many as these details are what make traveling pleasant and memorable.    We look forward to arriving and having an amazing time, again!    With gratitude,  Simone",Sep 2022,September 2022,Traveled with family,,"Los Angeles, California"
861265443,50,Had a wonderfull time,The hotel was just fun. The bar was great. Spent lot of time there. The scenes are magnificent from the room balcony. Easy walk to the Waikiki strip. The restaurant get very busy and happening in the evenings. very popular hangout place. Would definitely return. Iconic and highly recommended,Sep 2022,February 2022,,,California
861132932,50,Amazing,"Well we loved our 2 days here, for some unknown but fortuitous reason we got upgraded to an ocean view room, we had a corner room and it was just the most fantastic view I think I've ever had from a hotel (stayed in a lot!). Right over the beautiful beach as well as the city from the second aspect. Really cool hotel with excellent location a block from the beach. Staff are all brill. They offer beach chairs with no cost but you have to pay to store luggage on check out which is odd and was my only negative point. Right at end of beach so not in thick of it but still plenty within walking distance. Pool is fairly small but lovely area surrounding and the size doesn't matter with the beach right there. Tip- do pool in morning as sun goes off late pm.",Sep 2022,September 2022,Traveled as a couple,Pool is better in morning if you like the sun. Coffee shop in lobby decent and not bad a price.,"Bristol, United Kingdom"
861100507,40,Best housekeeper!,"This review is solely for our housekeeper, Ming. Ming went above and beyond to ensure our stay was great. She always greeted us with a smile and a greeting and was very accommodating to the different times of the day we needed a cleaning. Her hard work ethic and warmth can be felt every time she’s at work. Thank you, Ming!!",Sep 2022,September 2022,,,
860478143,50,Group Stay for Wedding,We set up a room block for our wedding and Queen Kapiolani ended up being the best hotel for our guests. It was a terrific experience working with the staff - very friendly and prompt responses to any and all questions. Great location in Waikiki and amazing views of the ocean from the rooms! 10/10 would recommend!,Sep 2022,September 2022,,Ocean View rooms worth the price,"East Lansing, Michigan"
859620111,50,Amazing along-Term Stay! (PCS),"Our stay at Queen Kapiolani has been amazing! We have been staying at the hotel since August 1, and will be ""moving out"" next Friday, the 16 of September. It’s a very long time to be at a hotel, but they have been so accommodating. While it’s not home, they recognize us and treat us like family in every department.    Room: We are staying in a city view room with two beds. I would say the room is average size. I knew what it was going to look like based on other reviews, and wanted to be extra organized due to the length of our stay. So, I packed collapsible baskets, a couple plastic drawers, and bags to keep our clothes in while they are in the closet shelves. Our totes stack nicely in the closet area and we are able to use it as a shelf for our swimsuits and extra stuff. The bathroom has a nice open area under the sink where I put more baskets for all our toiletry items. We pushed one of the beds against the wall to help prevent our youngest from falling off and it was easy to move and made extra walking space between the beds. My favorite part is the balcony with view of the city at night.    Housekeeping: All the employees that we have been in contact with, and there have been a lot, have been so helpful and attentive. We have housekeeping clean our room a few times a week (it can be done daily, but we don't need it cleaned that often), and they do a great job. Our room is always ready for us when we get back to the hotel. If you have pets, I believe you have to call in advance to schedule a cleaning.    Valet: The guys at valet are our favorite! They are always so nice and greet us and our kids with a smile every time we see them. Before coming we weren't sure how it was going to work having valet service every time we need our car, but it has been really great not having to worry about finding a parking spot and dealing with tight parking garage spaces. We tip a few bucks each time we arrive and leave, and they seem very grateful for it. It can get backed up in the mornings when soldiers and their families are leaving, but we plan ahead and go downstairs a little before we have to leave in case it takes a little while.    Food/Drinks: The restaurant at the hotel, Deck, is very good! They have daily mixed drink specials and happy hour. The pool is right by the restaurant, so if you don't want to eat there, you can eat at the pool or get it delivered to your room. You can also enjoy a nice dinner while your kids swim, provided they are good swimmers. There are no lifeguards on duty. The coffee shop downstairs has really good coffee. It can be pricey, but they have a monthly membership that includes one cup of coffee/day. It pays itself off in a little over a week, which was worth it because I drink coffee like water. If you get it often enough, they might even remember your coffee order and have it ready for you like they do mine. :) The hotel room comes with a small refrigerator and a microwave on request. We got a microwave the day we got there and it has been really nice to heat up leftovers or make easy meals.    Location: One last plus is the location. I believe it's a block from the beach, and that has been really great for us because we have two kids that love the water. The zoo is across the street and the aquarium is within walking distance as well.    We have really enjoyed our stay at the hotel and it has made us feel like we have been on vacation since we have moved here! I definitely recommend QK for your next vacation, or if you’re heading to Hawaii for your next Duty Station!",Sep 2022,August 2022,Traveled with family,,"Honolulu, Hawaii"
859285936,50,Beautiful hotel,"We loved staying at Queen Kapiolani. It’s in the middle of everything and very convenient, yet quiet and still able to relax fully.  The rooftop deck and their view is the best in Waikiki.  I especially loved knots coffee roasters in the morning every day of my stay.  Staff were very hospitable and cannot wait to stay again in October. Thank you!",Sep 2022,August 2022,Traveled with family,,"Miami Beach, Florida"
