web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665313922-66","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Tapir Trương","Bangkok, Thailand4 contributions","The most Beautiful resort in Chiang Mai","A beautiful combination between Art, History and Pleasure. Between Chiang Mai breakfast style & Vietnamese dinner style. 

The best time to travel in Chiang Mai should be November, December, January and February. Nice weather around 16 - 20* C.

One and only Villa Mahabhirom..","Date of stay: September 2022","Trip type: Traveled on business","ui_bubble_rating bubble_50"
"1665313922-67","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","WorldBeastTravel","Boulder9 contributions7 helpful votes","Beautiful","This is a very special place. We stayed at two bedroom villa with the pool as we traveled with my two teenage boys. There are two separate villas on each side of the pool. The rooms are beautiful, in historic Thai villa’s, the decor of the resort is stunning. The lunch was fantastic, the private dinner the best Thai food we had during our travels. The breakfast you have to order the day before and it was ok. This resort is in town, So you do have traffic noise at night and it’s under a flight path, so you do hear airplanes over head at night.","Date of stay: August 2022","Trip type: Traveled with family","ui_bubble_rating bubble_50"
"1665313922-68","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Jungjiiing🌎🌞","Reading, United Kingdom86 contributions16 helpful votes","Wonderful stay!","I was very impressed with villa’s vibe and staff.

The environment is quiet and peaceful. 

The service was really good and they have a nice welcome drink! 

The location is a bit far from downtown but CNX is a small town. Worry-less, Grab car will help you :) 

Bed is comfy but I hope the light should be brighter.","Date of stay: May 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-69","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","hieuc","Melbourne, Australia24 contributions12 helpful votes","Stunning wooden Thai villas","This place is oozing with character and charm. The rooms are set in old wooden Thai houses that have been relocated and re-purposed into luxury accomodation with all the modern amenities. It is set in lush tropical gardens and scattered with antiques that the owners have collected over the years. We booked the 2 bedroom villa with the private pool and it was perfect for us to relax after all the sight seeing.","Date of stay: January 2022","null","ui_bubble_rating bubble_50"
"1665313922-70","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Thanitps","Bangkok, Thailand227 contributions66 helpful votes","Luxury and stunning","- Luxury Thai villa 
- Beautiful decorate and stunning design
- Very helpful and kind staff
- Staff is available on site until 8 pm but any emergency at night you directly call to her
- Breakfast is good
- Very quiet hotel to stay and not far from Chiang Mai University area, so easy to find restaurant and orhers near hotel area","Date of stay: June 2021","Trip type: Traveled solo","ui_bubble_rating bubble_50"
"1665313922-71","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Hiroshi N","Shibuya-ku, Tokyo, Japan23 contributions15 helpful votes","Unwind in seclusion","Wherever you’re coming from, in our case it’s from (loud and vibrant) Bangkok, Villa Mahabhirom enhances your stay in Chiangmai to be even more chill (than what you’d expect from a visit to Chiangmai), as it provides seclusion from it’s surroundings. Originally traditional Thai style homes converted into beautiful private villas in a compound cut off from the rest of the world, we were able to completely unwind during our short but sweet stay at Mahabhirom. It’s also a great place to enjoy the art pieces on display by Chamniam Thongma, who apparently also helped design the hotel. If you find his art enjoyable, his studio is about 30 min driving north from the hotel as well, where you’ll find more of his renown pieces and can enjoy additional chill time at the riverside studio cafe.
The hotel compound is also thriving with lush vegetation, providing fresh cool air and lots of flowers to enjoy, something that was especially welcoming for us coming from Bangkok.
The staff are super attentive at the hotel, bringing us lime and ice water while we were swimming in the pool, allowing us to late checkout till 4pm as our flight was at 6:30pm, helping with bookings, etc. 
We thought perhaps the noise of jets taking off/landing at the nearby airport could be considered the only negative by some, but we got used to it quickly and the positives of the hotel outdoes this so much. It’s also conveniently located relatively closely to Wat Umong, the Baan Kang Wat area and the numerous cafes & restaurants that surround it. 
While we felt the hotel restaurant being Vietnamese was a bit curious, their breakfast was really tasty and a great alternative to the typical “breakfast buffets” you get at many hotels in SE Asia. There are only three choices of breakfast dishes but they are regional (Thai/Vietnamese) and well prepared with a side of fresh fruits. I sometimes feel that some hotel breakfast buffets (not all, some are superb btw) are a result of the chef not giving a damn about breakfast, so Mahabhirom’s breakfast, while few in options, was a much appreciated and refreshing alternative.
Its well worth the price, we certainly felt this way as by the second day, we decided to spend most of the day at or near the hotel. Cozy, secluded, comfortable and simply relaxing.
Obviously I recommend this hotel completely for anyones visit to Chiangmai and I look forward to when we come back.","Date of stay: January 2021","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-72","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","BangkokJock","Bangkok, Thailand465 contributions284 helpful votes","Thai themed boutique hideaway resort","Had afternoon tea which was very good but did not stay overnight.  We were given a tour of the hotel, gardens very beautiful with rare plants.   Villas & buildings are in Thai architectural style, exquisitely decorated.  Located very close to the airport.","Date of stay: December 2020","null","ui_bubble_rating bubble_40"
"1665313922-73","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Caitlin F","14 contributions13 helpful votes","Honeymoon Trip","Wow our stay here was incredible! We were welcomed into a spa - like setting with a saffron tea and snack (moo palo). We stayed in the pool villa which had a spacious outdoor living area. The villa is a refurbished Thai house - which was cool to stay in! Don't stay here if you don't like a quiet/tranquil setting. There were supposedly 12 guests staying on property - we hardly ever saw other guests. 
We are foodie people from Portland and we were blown away by the Thai cuisine we had on property. Come to breakfast hungry - the American breakfast consists of 3 courses (fruit platter, homemade yogurt/granola, bread basket (warmed croissants), and main entree of eggs, bacon/sausage and potatoes/squash. We also enjoyed the Khao Soi for breakfast - chicken braised in a warm curry sauce with homemade noodles. Everything we ate and drank here was amazing and way better than restaurants in town. The hotel staff was accommodating to everything we needed from shuttles to town, delivering food/cocktails to our pool villa, and scheduling excursions. We would come back to Chiang Mai just to stay at this hotel!","Date of stay: January 2020","null","ui_bubble_rating bubble_50"
"1665313922-74","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Bernard C","Teton Village, Wyoming131 contributions94 helpful votes","Most tasteful hotel - you wish it was your own home","This is one of the most beautifully decorated hotel I have stayed in. The gardens and the villas are pretty unique. There are many different seating areas so you feel like you are in your own leaving room overseeing your own garden. The Thai food is also great and is not 'international That' like at the 4 Season's or the Anantara. Only negative is that you are close to the airport so if you are noise sensitive it can be an issue.(there are not so many flights though). Staff makes you feel home but this is generally the case in Thailand. I will certainly go back if in Chiang Mai","Date of stay: December 2019","null","ui_bubble_rating bubble_50"
"1665313922-75","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","PassionateTraveller1","London42 contributions68 helpful votes","Boutique perfection","My partner and I stayed 4 nights at Christmas time. The place is just stunning. It’s an interior designer’s dream where every detail has been thought about. The residences are truly unique - whilst authentic 100 year old Thai houses they have been updated with all modern conveniences such as stunning marble bathrooms and Japanese toilets. Service is impeccable and the food in the restaurant amongst the best we have had in Thailand. It’s a very quiet resort so it feels like it’s a private residence. But if you’re sensitive to noise you should be aware that the hotel has occasional noise from planes taking off. It was a bit further from the centre than I originally anticipated - taxis are plentiful and takes about 15-20 min depending on traffic (of which there is a lot)","Date of stay: December 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
