web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay date,trip type,rate
1662783410-1,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,ClarkeyFamily,United Kingdom,Cracking Guest House in a Great Location,"Booked to stay here for a week as a family of 5. The room was huge and plenty of space for all 5 of us. Housekeeping madw rhe beds and cleaned everyday and left new bottles of water. 
Great location, close to shops, restaurants and the weekend markets. The owner was so kind and helpful, nothing was too much bother. 
Will definitely come back.",Aug-22,Traveled with family,5
1662783410-2,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,KaŚ,Poland,It's just beautifull!,"Like  · It's just beautifull. I really loved the decorations and interior design. The bears are everywhere and it makes You feel like home. Rooms are very clean and comfortable. Nice, big bathrooms. Very easygoing, polite, nice and hepfull staff. Location is amazing because it's very quiet street, very close to the center, main street, restaurants, shops. It was the best choice!

Liked less  · Maybe they can put some small chairs outside for the smokers  :) There is absolutelly nothing else we disliked about this place!",Jan-20,,5
1662783410-3,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Camilla Signorini,,Great place but attention to attraction suggested,"Great place, clean, with air conditioned and full of bears :D Helpful owners. The only bad thing is the elephant camp suggested. The owner said that's an ethical camp and she does not remember the name. She brought us to Maesa elephant camp: it was the worst... Don't go in this camp!",Dec-19,Traveled with friends,4
1662783410-4,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Diane714,Long Island,No frills but adequate,"This is a very, very basic place to stay.  The woman at the desk during the day is helpful and an enjoyable person to be around.  The night woman was a bit grouchy.  Must have her own stuff going on.  
There is not restaurant in site but the Common Room, just next door, offers a nice breakfast at a reasonable fee.  
The beds are HARD.  Like kitchen table hard.",Jul-19,Traveled with family,4
1662783410-5,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,piero c,Italy,Easy and cheap solution,"The guesthouse is clean and decorated with attention, as you can immagine about bears. For the price requested the service is good and the room comfortable. Excellent rate quality/price. They was super kindly to check in us at 8am so if they can they will help you for sure :)",May-19,Traveled with friends,5
1662783410-6,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Maurice CH,Thailand,Good location & comfortable,"We enjoyed our stay. The hotel is well located to restaurants nearby and famous temple. Just walking distance to the Cultural Center, the place where tourists should visit to see the history of Chiang Mai.",Apr-19,Traveled with family,5
1662783410-7,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,MingLeng,Malaysia,Good location,"The location is good, situated in the Sunday Night Market and the staff here is very friendly & helpful and the room is clean. The only thing that i would like to highlight is the air cond, it can't really cool down the entire room even over night. Other than that, its a good stay for us.",Mar-19,Traveled with family,4
1662783410-8,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,M Breland,Tennessee,Tradeoffs,"Pros: Very clean, spacious room.  Central location in old city, lots of eating places and massage parlors all around.  Quiet.

Cons: air conditioning was a little light - room sometimes a bit warm.  Shower wets bathroom floor.  Beds are VERY firm - a thin mattress pad atop a plywood box.  no room safe.",Jan-19,Traveled with family,3
1662783410-9,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Grigette,Canada,Skip,"The first thing that made me mad was that  the staff is so rude , Honestly, the owner / older lady didn’t even say hello when we first got her 
Nor did her daughter / worker greet us the whole time we were there !! 

The bed is a piece of plywood with a sheet on top , the shower drains into the whole bathroom so the whole bathroom is always soaking wet 
The air conditioning hardly works to say the least it was always blowing warm air , walls are paper thin. We had a couple accidentally walk into our room when it was locked , so does that mean all the keys open all the rooms ??? 

Wouldn’t come back 
Hope you get a better attitude and maybe a smile !!!!!!",Jan-19,Traveled with family,1
1662783410-10,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Gerard F,Thailand,Very disappointed,"The hotel seemed nice on paper but not in reality.
The hotel is clean but the walls between each room are so thin, you can nearly hear the person breath.

In the stair case, the hotel owners ask for silence, but this was absolutely not respected. The noise is this hotel is huge.
A new building construction just behind the curtains was not mentioned and they didn’t even bothered to inform us or propose another room.

This was really a nightmare!",Dec-18,Traveled with family,2
1662783410-11,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,ClarkeyFamily,United Kingdom,Cracking Guest House in a Great Location,"Booked to stay here for a week as a family of 5. The room was huge and plenty of space for all 5 of us. Housekeeping madw rhe beds and cleaned everyday and left new bottles of water. 
Great location, close to shops, restaurants and the weekend markets. The owner was so kind and helpful, nothing was too much bother. 
Will definitely come back.",Aug-22,Traveled with family,5
1662783410-12,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,KaŚ,Poland,It's just beautifull!,"Like  · It's just beautifull. I really loved the decorations and interior design. The bears are everywhere and it makes You feel like home. Rooms are very clean and comfortable. Nice, big bathrooms. Very easygoing, polite, nice and hepfull staff. Location is amazing because it's very quiet street, very close to the center, main street, restaurants, shops. It was the best choice!

Liked less  · Maybe they can put some small chairs outside for the smokers  :) There is absolutelly nothing else we disliked about this place!",Jan-20,,5
1662783410-13,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Caroline W,United Kingdom,Great place,"We stayed at Little Bears for 3 nights earlier this month.  I would absolutely have given them 5 stars were it not for a slight hiccup on arrival. We had booked (and paid for) 2 family rooms (travelling with friends) in February. However, on arrival there was some overbooking mix-up (still not entirely sure why) and they only had room for one family. We weren't impressed. End result was that we were put in two rooms with two double beds in each for first night; and they moved us to the family rooms for our last two nights. We were given free breakfast next door as compensation.

All that aside, Little Bears is clean, good atmosphere. Has WiFi that works well. The staff were all very friendly and helpful. 

No breakfast at the hotel (but we knew that when we booked) however The Common Room next door offers great breakfast and service. 

Location of Little Bears is also excellent.

Highly recommend; maybe just reconfirm a few days before you arrive!",Aug-18,Traveled with family,4
1662783410-14,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Lottie189,,"Clean, bright rooms in center of Old City","Amazing location close to major conveniences, really good when getting bearings of the city. 
The family room we stayed in was huge, with two double beds and a sofa, we had ample floor space for our bags and to move around - even with four people. The room was clean and bright, with two windows. The air conditioning worked a dream, especially when escaping the heat outside. 
Wet room bathroom dried/ drained quickly and the shower was consistently warm. 
We wanted to come back to here after a two-day trip, but they didn't have any available rooms left. 
The complimentary biscuits by receptions were amazingly tasty too!",Aug-18,Traveled with friends,5
1662783410-15,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,MKLing78,Malaysia,Great location!,"I used to go Chiangmai once or twice a year for holiday, I love the old town so much... I stayed in little bear’s home 3 times since January 2017... I’ll choose it again next visit to Chiangmai too... The rooms is clean, spacious, not causing noisy even there’s night market on Sunday, the staffs are very friendly! the location is extremely good, the famous 發清chicken rice and few local Thai food is just right outside the hotel & only 2 mins walk to 7-11 & 1 min to Sunday night market... other than that, currency exchange, souvenirs shops, massage, temples and a lot more are all in short walking distance... ❤️",Jul-18,Traveled with friends,5
1662783410-16,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,anita P,India,Super location,"Superb location.. Right on the middle of the old City and walking distance of several Wats including Wat Chedi luang and Wat Phra Singh. A lot of eating options around the place. The Sunday walking market is at the back street. Even for transport options, walk to the main road and flag down a songathew - it's around 30bht pp  within the city limits. The guest house rooms are clean and spacious.. No lockers in the rooms though. Free biscuits and bananas available at the lobby. Excellent wifi connection in the rooms. The only downside..if at all.. Is that the rooms could be slightly cheaper.. Saw a lot of guesthouses on this Lane itself.. And when I looked them up.. Some were slightly cheaper and looked equally good. Other than this, would definitely recommend this as a good guest house option for it's location n rooms",May-18,Traveled with family,4
1662783410-17,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Tee Hoo K,,Middle of old city,"This little cozy hotel is right beside Sunday night market. Triple room is big enough for two adults and two children. Wifi is fast and stable. TV box in room with more than 100 channels, but all Thai.",May-18,Traveled with family,4
1662783410-18,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Rattanak H,,Clean and nice,"We absolutely loved our stay there, the moment we arrived the owner is so helpful with information since it was on Sangkran Festival. Room are nice and clean with reasonable price. Located in old town of the city where is close to tourists side and 3km away from airport. 
Highly recommend!!!!",Apr-18,Traveled as a couple,5
1662783410-19,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,bandbwilltravel,United Kingdom,Lovely little hotel.,"We loved the Little Bear's Home as soon as we stepped foot inside. The lobby had a nice feel to it and the staff were lovely, friendly and very informative. The room was large, bright and airy, spotlessly clean with 2 huge double beds. It had tea and coffee making facilities, fridge, microwave, hair dryer and wifi. The hotel is located in a little back street within the city walls right in the city centre surrounded by bard, restaurants, shops and massage parlours. We were lucky enough to be in Chiang Mai on a Saturday & Sunday and attended the fabulous night markets located just around the corner from the hotel. Great value hotel, would love to return.",Dec-17,Traveled as a couple,5
1662783410-20,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,foreverlearning,Singapore,"Good location, clean room and awesome service!","Firstly, the location is fantastic, in the old city and within walking distance to famous temples, eateries, massage places and the Sunday Market.  There is a popular chicken rice stall and a shop selling organic yogurt just a minute walk away. It is also near to the Women’s Correctional Institution where you can have good and reasonably-priced massage with a good cause.

The hotel is pretty new and neat, with a few big triple, quadruple and family rooms. They provide 4 big bottles of drinking water every day for the quadruple room. Though there is no breakfast, the hotel replenishes complimentary cookies, coffee and tea at the reception area. Sometimes there are also complimentary fruit and crackers at the lobby area. For breakfast, besides frequenting the chicken rice stall (just tens of metres away), we like to dine at the next-door cafe called The Common Room - good service and they have value-for-money delicious set meals and coffee available. 

Lastly, a BIG thumbs-up to Little Bear’s Home service. Prior to the trip, my email enquires were always promptly replied by them. The few staff members we met were very friendly and helpful. Best of all, post-trip, we left a pair of shoes behind, and the staff went the extra mile to courier to my next destination in Thailand, refused to charge, and wish me a safe trip!",Dec-17,Traveled with family,5
1662783410-21,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Nomad740906,,Excellent,"They are very clean, their location is perfect and they are so friendly, affordable and helpful. They go out of their way to help you. Would definitely go back! The Sunday night walking street is right outside the hotel. Quiet yet very close to everything.",Nov-17,Traveled with family,5
1662783410-22,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,presentpassingpast,Singapore,Clean and great stay,"Lots of local food and massage options within walking area, and the room is really clean.

Staff could not really communicate in English but tried their best and were accommodating.

However, the walls are pretty thin, as I could pretty much hear the conversations going on in the rooms on the first level when I was in the main hall. I was also staying in the first level, and did not notice any lifts. So travellers travelling with heavy luggage may want to request for first floor rooms too.",Oct-17,Traveled with friends,4
