reviewid,rating,title,review,review_date,stay_date,trip_type,room_tip,origin
862405376,40,Sisters trip,"This was our first time in Hawaii and had a wonderful time. We stayed at the Hotel La Croix which was a perfect hotel. Walking distance to shopping, the beach and other amenities around waikiki. The hotel staff, specifically Douglas was an absolute gem. He was friendly, and helpful. I would definitely recommend this location. Thank you to all the staff working while my sister and I stayed.",Sep 2022,September 2022,Traveled with family,,
814101441,50,AMAZING SERVICE AND HOTEL!,"I stayed in a penthouse suite and wow! Perfect, unobstructed view of Waikiki beach and the ocean since there’s a park right in front. The front desk staff are great and ESPECIALLY the turn down service from Mhila! Thank you for your kindness and attention! You replenished my room with anything I needed with a smile and warn tone. Thanks! Will come back anytime!",Oct 2021,October 2021,,"Get a penthouse, full length windows to take in the view, a key reason of being here!","Olathe, Kansas"
862382094,30,Celebrating,"Great location, friendly staff especially Anna who helped us check-in. They were very accommodating with our requests and everytime we had a question they are very knowledgeable and very professional with their response.",Sep 2022,September 2022,Traveled as a couple,,
862370316,50,Check in,Anna was really helpful with our check in process and coordinating our luggage for an easy transition. We arrived early and needed assistance. She was very helpful and addressed everything in a quick and professional manner. Would highly recommend!,Sep 2022,September 2022,Traveled as a couple,,
862367651,50,Affordable stay? This place is good.,"I stayed with my friends.    Pretty cheap considering the location and service.    The all staff members were really nice (especially Douglas), too.    I will come back here again with my friends for sure!    (One point, the elevator LCD issue is soooooo confusing and a little annoying, so this hotel should definitely fix that.)",Sep 2022,September 2022,Traveled with friends,,
862363918,50,Great stay,Really enjoyed my stay at this hotel. It was very clean and the staff were very friendly. Douglas at the concierge made sure we were well taken care of and always made us feel welcome. Would definitely recommend!,Sep 2022,September 2022,Traveled with friends,,
862238782,50,Best service staff,Throughout our stay I thought I was at the ritz. Every staff member was super nice and extremely helpful. They are very helpful with offering suggestions on where to eat and things to do and see while here. If you need anything they are right there with it. i can't imagine staying at any other hotel. I definitely recommend skipping the over priced hotels and staying here instead. I would definitely recommend this place to anyone coming to Waikiki.  Yes there was some small things but they are remodeling to make the hotel even better so it was understandable and in no way affected my experience.    Wish we could have stayed here more than a week but sadly had to go home  THANKS to everyone at Hotel La Croix for a great experience and making our trip memorable.,Sep 2022,September 2022,Traveled with family,,
862223047,40,Conveniently located,"We stayed at Hotel La Croix for 6 nights in the Gold Ocean View King Room. Our stay has been amazing and comfortable. The hotel is conveniently located as most of the places were in walking distance (5-20mins). Douglas, in particular, has been super helpful over the various interactions we had throughout our stay. Although there was renovations during our stay, it did not impact our experience. Will definitely visit again!",Sep 2022,September 2022,Traveled as a couple,,
862082474,50,Excellent customer service,"Checked in with Shirin. She was very accommodating and helpful when we showed up to check in too early. She was very friendly, and helped keep our luggage safe while we waited for our room to be ready.",Sep 2022,September 2022,Traveled as a couple,,
862075086,50,Best Hotel and Service!,Had a fantastic time with the family in Oahu! We did so many activities and the food was amazing! Anna at the front desk was super helpful and informative at the La Croix Hotel. Definitely coming back to stay here!,Sep 2022,September 2022,Traveled with family,,
862074488,50,First time in Hawaii,First time in honolulu Hawaii and Anna was super nice she was able to check us in earlier then our expected check in would come back again and use their services they also have valet parking which it was really cool,Sep 2022,September 2022,Traveled with friends,,
861908115,50,Great stay,"Super helpful staff, very accommodating. Arrived early and got me all sorted. Many thanks Anna. Great place. Would recommend. Hawaii is beautiful, loving the weather and looking forward to my stay....",Sep 2022,September 2022,Traveled solo,,
861898874,50,Moving to Hawaii,Anna. She was so kind and friendly. The hotel is clean and very convenient location. My choice of this hotel was absolutely correct to start my staying in Honolulu. I would love to stay here again! Thank you.,Sep 2022,September 2022,Traveled with family,,
861891751,50,Hawaii Vacation,"Stayed at the Lacroix for two weeks for a Hawaiian vacation. Great location and amenities! Close to the beach, shops and restaurants. Saltwater pool was awesome for an afternoon swim and happy hour. Craig, Douglas and the rest of the staff were friendly and helpful.",Sep 2022,September 2022,Traveled as a couple,,
861870850,50,2 nd time in this hotel!!,"We came 4 years ago and completely fell in love in this place, the employees were so nice to us and the place is amazing. So 4 years later we came back, we saw on the internet that a lot of renovations has been made and we definitely can’t wait to re discover this hotel.    This morning Anna is the one who welcomed us, she so sweet and so nice !!",Sep 2022,September 2022,Traveled as a couple,,
861777384,50,The Best!,"When looking in the dictionary for “Best”  You’ll see Douglas and Craig(believe his name was)😅    As soon as we arrived Douglas took care of us right away. Love his energy!  He’s by far the best host we’ve ever met!    We even had a small room issue and Douglas handled the situation very quickly.    Just as we thought the experience couldn’t be better, we were also invited to the “Manager’s Hour” at the Monkey Pod.  Here we met we believe his name was Craig, the manager. He made us some drinks and gave us lots of recommendations. We also love his character and energy!    Couldn’t thank them enough!    As far as the vicinity itself, it exceeds our expectations.  I feel when one is looking for somewhere to stay,  this is the definition. 100%    I hope everyone else gets to meet these amazing people and are provided with the same hospitality.  Highly recommend this place!",Sep 2022,September 2022,Traveled with family,,"East Hartford, Connecticut"
861765055,50,Great service and amenities!,"Douglas was wonderful in welcoming us to the hotel and our room! I love the lounge and pool area, as well as the beach item rentals, and this hotel is located in a very central and walkable area. Thank you for taking care of our family and friends for our first time to beautiful Hawaii.",Sep 2022,September 2022,Traveled as a couple,,
861764583,50,Awesome!,"Douglas checked us in and made it super quick and easy! We had a small hiccup but Douglas rectified it within minutes. We were able to meet one of the managers as well, of whom we had a great quick a welcoming conversation with! Overall, super accommodating hotel from the front desk, room, and amenities. Beach item rentals were included with our stay which was so convenient! Location is great, many places were walkable from the hotel.",Sep 2022,September 2022,Traveled as a couple,,
861757111,50,Wonderful check-in experience,Douglas checked us in when we arrived at the hotel and he made the process quick and easy! He was kind and knowledgeable and helped us feel right at home. Hotel La Croix and Douglas have started our trip off on the right foot!,Sep 2022,September 2022,Traveled with friends,,
861746538,50,Cute hotel,"Staff were very lovely, including Anna who checked me in early.  Hotel is in a great spot next to a very large park in downtown Waikiki and so very close to the beach. It will be a good spot for any Waikiki visit.",Sep 2022,September 2022,Traveled solo,,
861745396,50,Honeymoon thank you for Anna,It’s ver kindly people and nice place  Especially Anna is so kind to us  This us out honeymoon and we can made a lot of great memory to here-!  I appreciate to dear Anna-!  We will came back here somedays!!,Sep 2022,September 2022,Traveled as a couple,,
861743608,50,Vacation 2022,"We stayed there for 5 nights, and we had a wonderful experience. The hotel is very clean, because they’re remodeling it. The staffs are very friendly and helpful. The location is good too. It’s very close to the beach, and the main street to Waikiki area.",Sep 2022,September 2022,Traveled as a couple,,
861740170,50,Amazing,"Nice room and very good service from Andrew and Ashley in the reception. Had some problems with the shower, but all in all beautiful hotel with good air condition and great location. Would come back :)",Sep 2022,September 2022,Traveled with family,,
861729366,30,Lots of little things can be improved,"Hotel itself was fine but it was the little things that made for big annoyances. The room had no side tables next to the bed on either side. Very annoying. There was only one thin blanket in the room so I had to ask for another one. Only two towels in the bathroom. They only have valet parking ($40 a day) so you have to wait for that whenever coming or going. Even if it’s just 15 minutes each time, not exactly what you want to do a few times a day. Just little things that make for big inconveniences.    There was also construction noise in the room directly next to ours with no apologies or anything from the hotel.    Wasn’t the worst experience, bed was soft, nice views from the balcony.",Sep 2022,September 2022,Traveled as a couple,,
861709714,50,Concierge Anna & Zachary,"Great concierge services by Anna & Zachary! Despite the construction noise going on outside and not having been told this was going on prior to my bookings for my wedding, Zachary and Anna weee great and wonderful as well as patient.",Sep 2022,September 2022,Traveled with family,,
861643525,50,Wow,"Spotlessly clean hotel with good amenities. Top notch service from the staff, they will answer all your queries in a timely manner. Special thank you to Mhila, she's an asset to your hotel. We will surely stay here again on our next visit to Oahu.",Sep 2022,September 2022,Traveled with family,,"New Orleans, Louisiana"
861466387,50,The Detailed Review,"Checked into Hotel La Croix on September 15th and checked out on September 21st.  Check in was at 3pm while check out is at 11am.    Valet is priced at $41.83 a day. Unfortunately there is not self parking option. If you want to park at the hotel you MUST valet. It is what it is… Room cleaning is not done daily, you must request it from the front desk 24 hour in advance.    WARNING  During my stay the hotel is completing renovations. The do tell you that there will be heavy noise between 9am - 5pm. Never stayed in the room during these times so it wasn’t a problem for me. I did stay in one day and there would be constant loud pounding sound. Just be warn if you are trying to sleep in.    THE ROOM  I reserved the Gold Ocean View Room with Queen beds. Room was nice and specious. The room had a desk, mini fridge, ironing equipment, flat screen and a safe.  The room had hardwood floors (personally not a fan, of hardwood floors in a hotel).    THE RESTROOM  Restroom had a waterfall shower head, no tub. Restroom has black granite floors. Restroom had lotion, conditioner, shampoo, body wash and two soap bars. The shower head leaked from where the head connects to the pipe, screwing it in stops the leaking. The door from the restroom to the bedroom did not want to close. Was not a problem but if you need privacy from everyone else, I would make sure it works.    THE CLOSET  The closet is kinda small, hangers felt kinda old. It did it’s job. No complaints.    THE LOUNGE  Fortunately with my reservation I was granted access to Monkeypod Lounge. The lounge is open form 7:30 am to 8:00 pm. The lounge is a cute little room that has a fridge, microwave and a touchscreen coffee machine.    From 7:30 - 11 they have mini muffins, butter cookies, bananas and apples  From 11 onward they remove everything except the bananas and apples but add chips.    The following drinks were provided Coke, Diet Coke, Water, Hawaiian Branded drinks, and apple/orange juice.    THE POOL  Pool seemed kinda small, didn’t really spend time in the pool area. There’s a bar next to the pool with a limited selection of drinks. Sauna is also next to the pool, did not end up using the sauna.    THE STAFF  The staff was amazing, I have no complaints.  The check-in employees were funny and courteous. They answered any questions I had about the hotel and about Hawaii.  The cleaning employee (Mhila) was great, during my stay I requested the room to be cleaned once (did not spend much time at the hotel). All the old towels were replaced with new towels and trash emptied. I did run into Mhila after the room cleaning and she asked if I needed anything else.  There were many valet drivers, but I interacted the most with Miles. Nice friendly guy always attentive to my needs, had good conversations with him.    RANDOM  The restroom has a window around waste high that opens into the closet. The closet then faces out to the balcony. You can see outside into he plaza from your restroom. I asked the night people at the front desk and I was told it was so you can enjoy your view while showering. I think that would be great for a bath tub, not with a standing shower. Kinda weird if you’re into that kinda thing.    ABC store is located on the grown level. Very convenient for quit bites and supplies.    CONCLUSION  I enjoyed my stay. I would stay here again.",Sep 2022,September 2022,Traveled solo,,
861394985,50,Great staff and location,"Shirin and Anna really went the extra mile to make sure that our stay was comfortable and enjoyable, The Gold corner had amazing ocean and city views and was much quieter. The lounge access was a great addition giving us a place to grab drinks and eat meals as a family outside our room. The Valet parking while pricey(all parking is expensive in waikiki anyways) was hassle free and had our car for us in 5 min or less, nice to not worry about parking on our holiday. Sauna was A+ and pool was great to cool off in. Some renovations are happening but for us it wasn't a problem.    We really liked that the hotel was close enough to walk to the restaurants and shops in waikiki but was far enough away that it was quiet and had little foot traffic. Beach park gave us easy access to the beach and kept the view to the ocean open.",Sep 2022,September 2022,,Corner and higher floor rooms are best,
