reviewid,rating,title,review,review_date,stay_date,trip_type,room_tip,origin
841145134,50,Honeymoon in paradise,"Wow, I knew from looking at the pictures of this B&B that it was going to be lovely but nothing compares to actually arriving there. The innkeepers were all so kind and accommodating. I don't think I've ever felt more welcomed at a hotel.    We asked if we could drop our luggage off at the desk early on our check in date as we were going to volcanoes national park and they generously and kindly accepted our request and even moved our luggage into our room prior to our late arrival. We arrived back at the inn late that evening and saw the most beautiful starry sky, outlook over Kona, and the ocean in the background. It was glorious. The view from the inn night and day is indescribable. The inn is so quiet and calm at night I had the best night's sleep ever! That being said, I would not recommend children or loud partiers to this inn. It is purely about relaxation and recuperation and everyone is mostly quiet and respectful.    The beds are so comfortable, I'm still missing the amazing sleep I had while there. Our room had a king sized bed a tub/shower, and a outdoor private hot tub which still provided great views overlooking kona and the ocean. Our room was called the coffee cherry room.    The breakfasts every morning were incredible! Started the day off with some delicious freshly ground and brewed Kona coffee grown on the plantation, followed by the freshest orange juice I've ever tasted and a yummy fresh fruit plate, all grown on the plantation or gathered from local farms. The breakfasts changed every day, but they were all incredible, healthy, and unique.    For lunch & dinner the innkeepers can give you recommendations in Kona which is about a 15-20 minute from the inn. We rented a car, but we also Uber-ed one night and found it easy to get an Uber there and back. There are also some small snack shops and stores within walking distance of the inn.    We were able and encouraged to explore the entire place. We were even allowed to take and eat fruits that we found. I love to do yoga and the inn supplied yoga matts as well as beach towels and beach supplies.    There are so many positive things about this inn, I think I could write a whole book. I am so thankful we got to spend a portion of our honeymoon and the only con about this place is that we couldn't stay longer! We will definitely return in the future.",Jun 2022,May 2022,,Coffee Cherry room has a private hot tub,"Medinah, Illinois"
839979755,50,Amazing *****,"From the moment we arrived to the moment that we left, Holualoa Inn and the staff were perfect on every way. We stayed in the Gardeneria suite which was absolutely stunning. The Inn is so peaceful, clean, homely, comfortable, dreamy bed linen, deliciously prepared breakfasts, amazing home baked snacks and wonderful friendly and attentive staff. We booked based on trip advisor reviews and I wish we had stayed longer - but it’s a reason to go back!  I would 100% highly recommend the Inn as a must for a stay in Hawaii, I guarantee no one will be disappointed.",May 2022,May 2022,Traveled as a couple,,"London, United Kingdom"
832872614,50,The Perfect Place for a Relaxing Stay,"The Holualoa Inn check all the boxes my wife and I were looking for in a relaxing five night vacation. The Inn is a 30 acre property, extremely quiet and isolated a few thousand feet on a mountain overlooking the Kona Coast. There aren't that many rooms and while we were there it was primarily filled with adult couples. Kona coffee and fruit trees are located all around the property and we were encouraged to eat any of the ripe fruit. The staff was outstanding!!! Everyone was very friendly, helpful and went out of their way to make sure everything during our stay was absolutely perfect. The food was exceptional-breakfasts were all great along with the special lunch that was prepared for us after a private yoga session. We asked them to make us sack lunches a couple of days for our excursions and they were fantastic! (the veggie wrap was terrific). All in all my wife and I found The Holualoa Inn to be a perfect place for a relaxing stay.",Mar 2022,March 2022,,,"Orange County,CA"
828087440,50,Exceeded Expectations,"My partner, and friends, love this Inn. The setting is spectacular, set in the middle of a coffee farm, overlooking the ocean. The service from the staff was great. We really enjoyed meeting them. The rooms are beautiful and the public space is charming. You could easily stay on the property the whole time and have a great trip. We also enjoyed the delicious breakfasts and afternoon snacks. We ordered dinner in one night and ate in the dining room. Was a great experience. Highly recommend!",Feb 2022,February 2022,,,"Washington DC, District of Columbia"
823048786,50,barefoot to breakfast every day in a 5-star hotel?,"After months of doing intensive elder care, we needed a brief respite. Holualoa Inn was ideal. Ina (sp?) made us feel so welcome the moment we pulled in the drive and treated us elegantly from that point on. The entire staff was friendly, helpful and really good at what they do (I'm thinking especially of chefs Julie and Sarah). Everyone mentions the amazing breakfasts; that's because they're amazing. We hope to return!",Dec 2021,December 2021,,,"Ventura County, CA, USA"
822844815,50,Wonderful estate that excels in service,"Beautiful. Comfortable. Fantastic base of operations.  The views are unmatched! Just gorgeous.  We stayed 5 nights. We actually spent a day or two just relaxing at the Inn.  Take a walk around the whole property, and you can skip tours of island agricultural farms.  Service was fantastic. Ina, Shawna, Audrey, and Rhonda were particularly helpful at every opportunity.  Great breakfasts and coffee in the morning. Snacks later in the day.  They do have an outdoor grill and frig for use, but realize that you will need to obtain lunch and dinner off site every day. In other words, the Inn is a super upscale bed-and-breakfast. There were others staying at the Inn, but other than breakfast, we didn't see others very often so it seemed like our own private resort!  The island is big! Plan on driving 45 minutes to 1.5 hours everywhere, but this will likely be true any place that you stay.  There was no air conditioning, but a fan in the room worked very well to keep us cool.    Even if you are vaccinated (as we were), I’d recommend waiting on a trip to Hawaii until the Covid-related mandates are lifted, as they clearly diminished Hawaii’s “Aloha” spirit. Also, be aware that various amenities are missing and mask mandates are extensive, and extend even to the outdoors (truly, and in practice). You absolutely should not go if you are not vaccinated as most businesses will deny you entry.",Dec 2021,November 2021,,"2nd floor, as 1st floor can be seen from outside","Atlanta, Georgia"
804897510,50,Up Hill in the Sky,"I quite enjoyed my stay here. The rooms are cozy and comfortable. Some have really spectacular views of the ocean. Definitely stay in one of those if available. Breakfast was delicious and the innkeepers super friendly. Lots of amenities, like washer and dryer, to help pack light. Also really appreciated the snorkel gear and other beach equipment. Majorly helpful. Lastly, I liked being high up, not only for the view, but also for the decrease in temperature. Worth a stay if you want a quiet, contemplative retreat away from the hustle of the shore (which is a short drive ... very downhill ... away.)",Aug 2021,June 2021,,Ask for a room with a view. It's worth it.,"New York City, New York"
796695235,50,The perfect getaway,"My husband and I stayed here for six nights and were so sad it wasn’t longer! The grounds are just breathtaking and very well kept, breakfast is incredibly delicious (and you get that Kona coffee!), innkeepers are all so friendly and helpful, the bed and room was comfy and lastly it was just a peaceful place to be! We felt very at peace during our stay and cannot wait to go back! If you are looking for a place to go that is away from the resorts this is it. It’s also magically 15 minutes away from just about everything. Hot tip - get barbecue from the food truck up the street - so good!",Jul 2021,July 2021,Traveled as a couple,,
788766877,50,Amazing stay!,"Beautiful grounds and room. Breakfast every morning was delicious. They serve coffee from the grounds too! They have plenty of amenities such as Ohana room with fridge and utensils, grill for guests to use, laundry, and plenty of beach supplies (chairs, umbrellas, snorkels). A great place to stay!",May 2021,May 2021,Traveled as a couple,limited restaurants close by. We bought food for lunch/snacks from a grocery and went out for...,
788035682,50,Priceless tranquility,"On a hillside in Hawaii, surrounded by splendid gardens, lush vegetation, early morning mist and evenings flush with the glow of sunset, sits the Holualoa Inn. Hands down the most relaxing, beautiful and thoughtfully designed experience to which we have ever been privy. Every detail speaks of calmness and of enjoyment.  We stayed here for our much delayed honeymoon in April and could not have been gifted a more perfect and special location for this occasion. The staff was gracious and helpful, without being intrusive. It was as if we were in our own place with friends who would come by just to say hi and see if we needed anything.  With all sincerity, we recommend this place. For anyone seeking stillness, beauty and quiet. For any couple wanting to experience something inspiring while sharing with only a few other lucky guests. If you can only afford the time or capital for one night, we wholeheartedly recommend this stay.    P.S. Leave the windows open. Listen to the frogs and crickets as they go about their night, to settle you to sleep. Then, as the light expands into morning, the birds will sing and wake you to a new day.",May 2021,April 2021,Traveled as a couple,,"Clearwater, Florida"
