web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665423503-1","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Str8frwd","Enfield, Connecticut168 contributions92 helpful votes","Very Nice Stay. Excellent customer service.","We stayed here for 1 night upon our arrival and for two nights at the end of the trip. We took advantage of their valet parking which was convenient. Anytime the car was needed it was brought up for us very quickly.   The staff at this resort are super friendly and make this hotel extra special. 

It was nice to have the room ready early upon our arrival and we has a spectacular view from the room on the tale end of the trip.  There are fireworks every Friday at 8pm which you might be able to view from your balcony, but we were out to dinner at the time of the display.   The rooms have a washer and dryer available and they provide soap and dryer sheets for your use.  

The beach is a short 4 minute walk and they provide beach towels for your use.    We dined at the resort for breakfast and also ate at the BLT steakhouse on the last night there.  Both were good. There are plenty of shops and restaurants in a short walk from the hotel which was convenient.  

The beds were very comfortable and the kitchen was well equipped for our stay.  In the first room we had a bathtub/shower combo but in the second we had an open area shower next to the tub.    The bidet toilet was an extra plus for the hotel.  

Would definitely return to this hotel.","Date of stay: September 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665423503-2","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","LehuaMonsoon","Honolulu, Hawaii861 contributions88 helpful votes","AMAZING...will be BACK! Spoiled by the Trump chain of hotels!!","Q: Where can you find a room that will sleep 5 people, in a convenient part of Waikiki, is rated #1 on Tripadvisor for the best hotel in Waikiki, with 5-star service, ocean view w/ dual balconies and a separate room for the in-laws? How about free valet parking, no resort fees, early 12 PM check in and late 6 PM check out for Kama'aina (locals)?

A: You're looking at it!

It was difficult to fit all of these criteria into our budget and what we were looking for. It was either book two separate rooms and pay more, or stay here. Although the Trump line is not associated with budget, compared to booking separate rooms WITHOUT all of the perks above, it would have come out way more expensive. This was actually a deal, believe it or not.

DETAILS:

POOL: You're wondering why I'm writing about the pool first; it's because it seems to be one of the complaints of guests calling it small, and I have no idea why this is a problem. It is the most luxurious pool I've ever soaked in, and small and classy is better than big and brassy! Looking out over the infinity edge, I can see two other hotel's pools and they are a LOT larger but filled with rowdy drunk people and inflatables. Would you rather have a classy pool, or a larger pool in a less fancy setting? I soaked in the pool in the day, and at night (simply magical)! If you get cold, there's a separate jacuzzi. There's poolside cocktail and food service but I didn't use those. Next time I stay here, I'll try to time it with the full moon so I can soak under the moonbeams.

ROOM: Mind blown! We had a suite with one full bedroom, a den and living room, both with pull-out beds, 1120 sq ft, ocean view w/ 2 balconies, 2 full bathrooms, a fully-stocked kitchen (dishes, high-end bar glasses, utensils, knives, 12 cup coffee maker, full sized rice cooker!, wine chiller, pots/pans), microwave, fridge, dishwasher, ovens (Subzero, Wolf, Bosch, Miele). The bathrooms had really nice toiletries (shampoo, conditioner, body lotion, bar soap, bath gel, bath salts, loofah, cotton swabs, make up pads, hair tie and shower cap, nail files).

The room decor all tastefully done in creams, dark and light wood tones, very clean as well. The trashcans were even made of leather! Impressive! The hotel gave you complimentary hotel slippers you could walk around in, as well as Eco water bottles; heavy bath robes for each guest, tons of fluffy clean towels and twice daily housekeeping. Very quiet, we didn't hear a thing but we also got a room on the side of the elevators separated from other rooms. Four elevators, the fastest elevators we've ever been in...totally insane!

SERVICE: Minds blown again!! This is 5-star service on steroids. I have never heard, in my life of frequenting hotels all across the globe, someone actually SMILING over the phone!! Keiko and Ryuko cheerfully greeted me daily when I called to ask for bottled water (complimentary) or had questions. Housekeeping personnel actually smiling and greeting us warmly was also surprising. Front desk check in and check out, all wonderful! Valet, also great!
Twice daily housekeeping, amazing!!

FOOD: Breakfast at the In-Yo Cafe was not very impressive. It was pricey so the next day we walked over to Duke's Waikiki for buffet breakfast (read my reviews for both). Eggs and Things around the corner but too many people. Dinner at BLT Steakhouse burned a hole into our 401K but my husband said it was the best steak ever (see my review on this one as well). The in-room dining menu seemed impressive, but we didn't use it. You can also walk about 2 short blocks to ABC Stores to get cheap wine and food, and Dole Whip! Giovanni Pastrami is also in the short walk away for take-out food and pizza (we loved the pizza).

CONVENIENT: ABC Stores, restaurants, boutique shops, Royal Hawaiian Shopping Center, International Marketplace all within walking distance. The beach is right across the street, as is the Army Museum, if you're into history.
Drop into Lewer's Lounge at the Halekulani for cocktails/piano music in the evening, but dress nice for that. If you want to drive over to Ala Moana Shopping Center for all-day shopping, it's about a 5 minute drive away.

OTHER: if you're a bird watcher, you're in for a treat if you have a room with the ocean view balcony. Swarms of white tern and Indian Ringneck Parakeets fly in flocks over the trees below and mingle with the pigeons and the lone chicken pecking for food in the grass by the Army Museum.

You can bring your dog with you for $50 more a night, now how many hotels let you do that? Need a crib for your kid? No problem!

If walking to other restaurants, I suggest walking along the beach-side and avoid walking around the hotel on the Ewa (west) side; it wasn't as nice and there was a creepy man checking us out.

PRICE: Your mileage may vary. We locked in at $666 a night (not joking) for local Kama'aina rate and now the rate is $987 for the same room.  

RETURN FACTOR: 120% YES.","Date of stay: May 2022","null","ui_bubble_rating bubble_50"
"1665423503-3","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Nick M","Auckland, New Zealand31 contributions4 helpful votes","Must try harder","This was our fifth time in Waikiki but our first at Trump. We paid over $1000 a night for 16 nights in a 2 bdrm ocean view suite, incl an extra night just so we could check in early. We chose Trump because we wanted a kitchen and laundry this time with our little boy. 

Unfortunately despite the hotel clearly not being full we got stuck with a room on the north east side with at best a partial ocean view. The lanai was too windy and too noisy to enjoy (traffic noise and a nearby roof fan was squealing away like a stuck pig). At check in they tried to upsell us nicer views, south and west facing suites that were premium ocean view only though when we checked out we mentioned this and said we weren’t happy so our resort fee was credited back. So that was good. 

The suite itself was mostly fine. Clean and tidy and well equipped. 

There were various minor maintenance issues with the suite but because we were isolating and didn’t want anyone else in the suite we didn’t say anything until check out but I’m sure it would have been fixed if we’d asked. 

Wi-fi is VERY slow.

We had groceries delivered twice but one time no-one bothered to call our room to tell us they’d arrived so they sat in the heat for 20 mins until by sheer luck I checked my emails and saw one from the store confirming delivery. 

The accounts staff have no idea how to do a hold, they billed us for the entire stay before we arrived, then reversed it, then mucked up the hold again by not putting the right amount on. Then randomly charged us $12k days before we had even checked out. Again this was addressed by crediting the resort fee.

All in all it was a mixed experience and while we weren’t unhappy and our own preferences made it difficult for them to rectify things, I’m not sure that their current ratings are really justified.","Date of stay: September 2022","Trip type: Traveled with family","ui_bubble_rating bubble_30"
"1665423503-4","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","jelm62","Madison, Mississippi136 contributions40 helpful votes","Quiet and comfortable","Pros:
Quiet, clean
Comfortable beds
Pleasant and helpful staff
Fancy toilet/bidet
Kitchenette 
We never saw housekeeping, but our room was always pristine when we came back later in the day. 
Short walk to restaurants and VERY high end shopping and the beach. 

Cons:
Trump name. Honestly, it seemed so quiet and I don’t know how many people were there, so I wondered if the name affects occupancy. We chose the hotel for the reviews, not the name. 
No balcony on regular rooms ( and by regular I mean an ocean view king suite, so not a bargain room by any measure)
Bathtub very hard to get into if you have long legs. There is a piece of glass that covers half the area.  (At least in our room) A nice shower would’ve better, imo.
Not much of a Hawaii feel except in the welcoming spirit, florals, etc.  
not a resort that says “you’re in Hawaii”
Ocean view means you can see the ocean from the room over buildings.
Only ate one meal at the In-Yo cafe - breakfast. It was good and service was excellent. 
Some areas nearby seem a little sketchy and unlit at night, especially on Saratoga just past the hotel. 

If you want quiet, clean and comfortable, away from the crowds of the beach resorts, it’s a good choice.","Date of stay: September 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_40"
"1665423503-5","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Michele F","1 contribution","Perfect place to stay for son’s wedding!","We traveled to Honolulu for our son’s wedding and stayed 8 nights at Trump Waikiki. Everything was outstanding! Beautiful rooms, so many amenities, perfect location for getting to the beach, restaurants and sights! It is even pet friendly as we learned while caring for our son’s dog! Ideal location for beach walking and views from our balcony were incredible. What really sets this hotel apart from the others are the people. The staff is so friendly, helpful, professional and responsive to whatever you might need during your stay! Cannot recommend highly enough!","Date of stay: August 2022","Trip type: Traveled with family","ui_bubble_rating bubble_50"
"1665423503-6","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","johnpaulbelize","19 contributions3 helpful votes","trump waikiki","this is a top notch high class hotel with great personal service. the suite with ocean view is amazing. we stayed 4 nights, including friday night and from the balcony you have the perfect view of fireworks on friday 8pm. this hotel has the best staff, everyone was professional. anytime we needed anything for our room, for example blankets, towel, water, it arrived immediately. again, the view from the balcony is amazing, you see waikiki beach, the surfers, yachts, sail boats. this hotel is close to a lot of restaurants and high end shopping. it was very quiet at night. would definitely come back","Date of stay: September 2022","null","ui_bubble_rating bubble_40"
"1665423503-7","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","swingtiger","Bellevue, Washington40 contributions16 helpful votes","Great amenity with top services. Rare to find in Waikiki. Super kids friendly!","I have been staying multiple hotels in Waikiki(primarily Royal Hawaiian). Now I have a newborn and I suddenly realize how it restricts my selection now.
The room we stayed is Premium one-bedroom plus Den. The layout really varies but the amendities are the same. The room can easy accomodate 6 adults with the 1 queenbed + 2 sofabeds

The REASONS of choosing Trump Waikiki over the others
- Top tier services provided and Staff are extremely friendly and helpful. Only Ritz and Trump are in this category. Below the resorts but while above all other hotels. 
- Prepared and experienced in helping family with kids.  
   	a.UPPAbaby Minu stroller is provided by the hotel for daily use. I wish I knew it earlier so I didn't need to carry mine. 
      b.A big quality crib provided in room. 
      c.A kids friendly swimming pool. Slim and shallow. No alcohol served by the pool. 
      d.Hotel feels safe and secured by access control. We realized we left something in the swiming pool two days ago and staff done a great job in storage them for someone to claim.
- The washer and dryer in unit are bosch 800 series. Pretty clean and new. And we use them everyday. 
- Our flight departed at 9:30PM. They kindly offered a late checkout after 7pm. 
- Humidity indoor is well controlled. 
- When talking about the full kitchen, they really mean it. You can find Subzero fridge, subzero wine celler, rice cooker, induction stove, double oven, dishwasher, blender.etc almost everything you need. 

Based on the great experience I had this time, I would probably only stay with Trump when visiting Waikiki for family trip.","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665423503-8","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","xcbijd0vyq","Stafford, Virginia1 contribution4 helpful votes","Forget the name","The staff were superb.  The rooms are spacial with a amall kitchen with dishes and pans.  There was a mini fridge that made ice.  If possible, get the ocean view room. I was on the 20th floor and the view was to die for.  The sunset was visible and beautiful every night.  I had breakfast every morning and it was delicious.  The hotel is not on the beach but its literally a 2 minute walk to a beach.  The hilton has fireworks every friday which can be seen from the infinity pool at the Trump.  The only problem I have is that has Trump in the name.","Date of stay: August 2022","null","ui_bubble_rating bubble_50"
"1665423503-9","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Mike0884","10 contributions1 helpful vote","Average hotel at premium prices","This was our first experience with Trump Waikiki. The room was clean and the staff, for the most part, was friendly enough but the general location of the hotel (I.e. not beach front) and the poor amenities and facilities offered by the hotel did not justify the price for the hotel. Although my 6 night stay included 2 free nights and a room upgrade (through my Amex card), the price still remains high for what we are getting. To be more specific, the size of the pool (despite what is pictured in the advertisements through clever photos) is smaller than most hotels in Waikiki. The gym is also sub-par and the “buffet” breakfast is one of the worst I’ve tried in Waikiki. It was not the best experience for us.","Date of stay: September 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_30"
"1665423503-10","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Richard C","2 contributions","Five star hotel with a kitchen!","It is rare to find 5 star hotels with kitchens; especially gourmet kitchens with high end appliances. The Trump International is highly recommended on your next trip to Waikiki. The hotel is situated just a couple of blocks from the best shopping and dining along Ala Moana Blvd.","Date of stay: August 2022","null","ui_bubble_rating bubble_50"
