web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665497455-1","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","TobieT1998","Denver, Colorado11 contributions3 helpful votes","Pure solitude","We stayed for just one night and were lucky enough to have the place to ourselves.  The property, pool and hot tub are amazing. The villas off the pool have basic kitchen amenties (sink, small fridge and microwave), so plan accordingly when bringing your own food. It's perfect if you plan to grill. I'm glad we found this off the beaten path gem.","Date of stay: April 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-2","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","PhilipY2010","South Morang, Australia52 contributions14 helpful votes","Totally enjoyable stay","Had we known how good this place is, we would have planned to stay longer. The property only takes a few guests at a time, so the facilities (pool etc) are not going to be crowded, which was a nice change after having just stayed at a hotel in Waikiki.

Our bungalow was great - close to the pool/spa and ocean views. It was big and nicely furnished. The only downside we found was that the bed wasn't so comfortable - a little too soft for our liking, but the pluses of the property made up for that.

We didn't go in the pool, but the spa was excellent. We could sit in the spa and look out over the grounds and the ocean - very relaxing.

The property is a great place to stay as a base to explore the area. You just need to keep in mind that there are no restaurants nearby, so need to plan accordingly. This is a very relaxing place to stay, and we would certainly love to stay here again.","Date of stay: February 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-3","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","lorna c","belvidere10 contributions5 helpful votes","Lovely, near-private refuge with oceanfront views","We stayed two nights at Lai Nani and wished it could have been longer. The property is just as pictured. There's a ""big house"" with steps leading down to three small buildings (""villas""), each with their own private patio space and bbq grill. We were in villa 1. We had a small kitchenette area with microwave, mini-fridge and some dishes, a comfy bed, sofa, very small closet, and bathroom with walk-in shower (no tub). Just outside our door was the pool/hot tub area. You need to turn on the hot tub's heater in advance of using it, but it eventually does heat up pretty well. The pool was too cold for us to swim in. (We only had time for pool/hot tub during the early morning or late evening hours, though.) The pool/hot tub are communal, but I didn't see the other guests while there, so it felt pretty private to me. Besides the pool area, there's a gazebo overlooking the ocean. We saw whales breaching and a lovely sunrise. Another part of the property has a lovely garden; there's also beautiful, well-maintained landscaping throughout.  

The Lai Nani is run by a property manager who lives nearby and responds to texts if you have questions or concerns. Our first night, I was cold, and learned to my dismay that our villa had no heat! It has air-conditioning but at night, there's nothing but a blanket to keep you warm. I slept with my winter coat on that night. BUT we discovered the next day that the windows (which are covered with blinds) had been left open. We closed them and also did not turn on the air-conditioning before we left for our day's adventures. When we got back, the room was nice and warm from the sun, and it retained that heat all night. Do keep in mind, though, that Hawaii can get cool at night (just as California beach towns can), so bring a sweatshirt or jacket for comfort. 

The Lai Nani can be difficult to find, especially at night. We learned to look for mile marker 16 on Hwy 19. The property is 17 miles from Hilo, which is where most of the restaurants and grocery stores are. We found Hilo to be crowded with difficulty locating parking at the restaurants we chose; we wished we'd just bought some food and grilled it at the Lai Nani instead. The property is also about a half hour or so from the volcano national park, which we very much enjoyed seeing. No restaurants or shops are within walking distance, as far as I could tell, though there is a zipline place across the street, which we didn't try.

The Lai Nani would be a great place for a family get-together or similar occasion where instead of getting three separate hotel rooms, you get three villas and then have the run of the place. There's even a bar next to the pool. 

Or, you can do as we did, and just go as a couple, and enjoy the serenity you'll find there.","Date of stay: February 2018","null","ui_bubble_rating bubble_50"
"1665497455-4","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Sarah W","Boulder, Colorado664 contributions179 helpful votes","Wonderful villa on a lovely property","If you are looking for wonderful solitude 20 minutes from Hilo, this place is for you! We had the salt water pool and hot tub to ourselves (there was only one other couple there). The ocean views and landscaping are gorgeous. Our villa had lots of windows, a super comfortable king size bed, and an amazing shower. The groundskeeper was friendly and the owner communicated well over text. I would definitely stay there again. Note that there is not a restaurant or a way to get food while you are there. Take the trip into Hilo - they have great restaurants (our favorite was Moon & Turtle).","Date of stay: February 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-5","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Cat E","114 contributions66 helpful votes","Very nice, but seemingly deserted.","Beautiful setting on the water, GREAT views, nice property, with a pool and lovely outdoor patio. We stayed in one of the bungalows and the room was great, windows on all sides, lots of space, coffeemaker, microwave and refrigerator. The bed was THE most comfy bed I slept on in my two weeks on the Big Island, staying in several nice places. Soft, fluffy pillows too. I slept better here than anywhere with the sounds of the frogs and the ocean waves. Super quiet though, almost eerie. Only one other couple at the whole place. Never saw any staff. The place should really have a restaurant/bar, but it doesn't and it is pretty far from Hilo to drive in for a meal. Service was basically non-existent, you are on your own. Bathroom not too clean--not stocked with toiletries either.","Date of stay: July 2017","Trip type: Traveled as a couple","ui_bubble_rating bubble_40"
"1665497455-6","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Cajnibear","Pearland, Texas15 contributions6 helpful votes","Incredible Time for our Honeymoon","We found Lai Nani online after our original plans didn't work out once we arrived.
We booked it after office hours & called the provided number & the property manager, Kate, worked with us to get us in the bungalow late that night.
To say the property is beautiful is an understatement.  There are flowering plants of all sorts amidst the huge palms, mostly various colors of hibiscus.  There is an awesome saltwater pool and beautiful gazebo all sitting atop about a 200 ft cliff shore.
There are only three bungalows which makes for a very low occupancy, so most of the time we had the property to ourselves.
Our bungalow was very modern & spacious with  a gorgeous bathroom.
There was a flat panel tv, fridge, microwave, and a Keurig machine.  There was a gas grill outside which we used to grill steaks one evening. 
The daily service is optional due to the management's desire to maintain privacy.  We had no problems with getting fresh towels, and we simply put out our trash bag to be picked up.
If we ever come back to the Big Island this is the place we will be staying!
Thanks again, Lai Nani, for making our honeymoon incredible!","Date of stay: June 2017","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-7","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Basma86","Amman, Jordan84 contributions8 helpful votes","Non serviced bungalow","As nice as the place was it is completely self service. Which means bring your own breakfast things as the closest store is not within walking distance. 
A car is a must!
It is 30minutes drive from Hilo.  
There is a small fridge with a freezer compartment. A coffee machine, toaster and a microwave. Outside there is a propane grill but seeing as it always rains not sure if you could rely on grilling!","Date of stay: September 2016","Trip type: Traveled on business","ui_bubble_rating bubble_30"
"1665497455-8","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","CeliacTraveler57","Colorado Springs, Colorado112 contributions47 helpful votes","Gorgeous views right on the water","We had a bungalow all to ourselves. Beautiful views. Our own lanai with our own grill. A great kitchenette we used frequently. The room is quite large. The bathroom was perfect. The bed was super comfortable. So much so, that we pulled up the sheets to see who made it (tempur-pedic), because we'll likely get one too. 
The staff was very helpful and polite. 
You enter the property through a secure gate. I don't know if you really need it secured excepted from curious tourist. We were enjoying a few relaxing moments at the gazebo when we spied whales. What a treat! We also enjoyed the hot tub. 
The only real drawback of the resort, was the location. It's about a 20 minute drive from downtown Hilo. Not a big deal for most, but we were there to see family in town. Not really a vacation trip for us. We were unable to find a decent room in town. So many of the Hilo hotels are really run down. Lai Nani is quite new and lovely.
To find it, go to mile marker 16 on the ""belt"" road heading North of Hilo. The entrance to a frontage road is right there, ocean side. Pull into the community frontage road, turn left. It's the third property. Blue gate with ""Lai Nani"" on top.","Date of stay: February 2016","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-9","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","LizzyFan","New England52 contributions39 helpful votes","Paradise FOUND!","Everything about Lai Nani was amazing.  If you want time away from the hustle & bustle, this is where you need to go.  I watched the sun rise every morning, enjoying a cup of coffee in the gazebo! Outdoor grill, heated pool, Jacuzzi, private, private, private!  It was a perfect way to end our trip to the Hawaiian Islands!","Date of stay: February 2016","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-10","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Helina L","Helsinki, Finland6 contributions4 helpful votes","A paradise!","Our family stayed few nights in one of Lai Nani's bungalows and I must say this was closest to a paradise I have experienced so far. Many times we even had the pool all to ourselves.

The kitchen in the bungalow is tiny but you can bbq in the area in front of the bungalow.

The nature is so near! We could see humpback whales swimming by and hear then in the evening when gazing stars outside. Peaceful and lovely place that I can't recommend enough!","Date of stay: January 2015","Trip type: Traveled with family","ui_bubble_rating bubble_50"
